time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),PlotBar (Open),PlotBar (High,PlotBar (Low),PlotBar (Close),Plot
1607054400,3426,3432,3423,3430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607056200,3430,3432,3423,3424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607058000,3425,3431,3423,3430,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607059800,3429,3435,3420,3434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607061600,3433,3434,3421,3421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607063400,3421,3425,3410,3418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607065200,3417,3425,3414,3424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607067000,3424,3432,3418,3431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607068800,3430,3438,3425,3431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607070600,3433,3449,3431,3446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607072400,3443,3445,3435,3439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607074200,3439,3442,3423,3432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607076000,3432,3432,3395,3398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607077800,3397,3416,3396,3415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607079600,3416,3421,3415,3415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607081400,3415,3424,3410,3410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607083200,3410,3418,3403,3403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607085000,3404,3411,3398,3406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607086800,3407,3407,3379,3389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607088600,3389,3408,3386,3400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607090400,3399,3407,3374,3378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607092200,3379,3411,3377,3393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607094000,3394,3409,3387,3407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1607095800,3407,3415,3395,3404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
